0,1602695019818881024,Ikea plans to make 50 percent of its menu plant-based#vegan #food #ikea https://t.co/H4ymv3OsG1,2022-12-13 16:00:44+00:00,0,0,1,0
1,1602694554741837825,"OK I used to LOVE #Ikea but NOW, they can go #Hell.  How dare they pull a bullshit move like this!?  @IKEAUSA @IKEAUK @IKEACanada @IKEAUAE @IKEAIE @IKEAtoday YOU SUCK!  You’ve now lost me as a customer &amp; anyone else I can talk to. https://t.co/3SZPGGJcwd",2022-12-13 15:58:53+00:00,0,0,0,0
2,1602673017229905922,Work Humor… #ikea #jobsearch #JobSeekers #JobSeekersSA #jobopening #jobopenings #jobopportunity #jobopportunities #HIRINGNOW #hiring #over40 #over50 #over60 #funny #humor #laugh #laughs #humorous #joke #jokes #cartoon #cartoons #work #workhumor #workjokes https://t.co/jwtPtqWkCO,2022-12-13 14:33:18+00:00,0,0,0,0
3,1602667579738300418,"IKEA steps in to battle poverty and climate change in KenyaThe grant will create opportunities for 15,600 people living in extreme poverty@IKEAUK #energy #energycrisis #netzero #IKEA #BOMAhttps://t.co/Sv77ut8xZj",2022-12-13 14:11:41+00:00,0,0,0,0
4,1602643952737337345,"That... doesn't look warm &amp; welcoming, IKEA. #ikea #design #what https://t.co/iJ4u3b84qD",2022-12-13 12:37:48+00:00,0,2,8,0
5,1602634943750078466,IKEA Philippines Christmas Ad is controversially heart warming  👏🎉🥰#IKEA #ikeaphilippines #ikeaphchristmasad,2022-12-13 12:02:00+00:00,0,0,0,0
6,1602629352206012416,Me after watching the Ikea Philippines christmas commercial #ikea https://t.co/jMcHdbUyKa,2022-12-13 11:39:47+00:00,0,0,0,0
7,1602614400271220736,Djungelskog is here to help all the good hunters apparently!#Bloodborne #ikea #djungelskog #bear #costume https://t.co/8NKItnPIIJ,2022-12-13 10:40:22+00:00,0,0,4,0
8,1602614272722440193,"What do you think how would #IKEA  design this? To ensure all products can be reused, refurbished, remanufactured and eventually recycled, IKEA has developed circular product design principles to guide them through the process. They will innovate and inv…https://t.co/zssMo0BHAa",2022-12-13 10:39:52+00:00,0,0,0,0
9,1602611791309074434,#Ikea acquires land for its biggest logistics centre in #AndalucíaThe new facility will also be a collection point for online ordershttps://t.co/IrkzPrNCN3,2022-12-13 10:30:00+00:00,1,0,1,0
10,1602610588445773825,"@IKEAIndia Hej, I got a call from ikea person and asked for the history on my request, I have shared details and he told, they will update in a day. After that no response. Waiting to hear from #ikea since Oct last week.☹️",2022-12-13 10:25:14+00:00,0,1,0,0
11,1602603426302595072,"Awww,you don’t like my shark?🥺 #elf #shark #ikea #teengirls https://t.co/p10sLxRfam",2022-12-13 09:56:46+00:00,0,0,2,0
12,1602594511691350017,"This Christmas ad by @PhilippinesIKEA has sooo much heart. @Mleenow, you shine much much brighter than the brillantitos in your jewelry. Congrats and much love to you and @MCdlcrz. Watch full video on YouTube #ikea #christmas #PalabasTayo https://t.co/xFoQeR8AHT",2022-12-13 09:21:21+00:00,0,0,4,1
13,1602580586282897411,The best cognitive boost of all time 🧑‍🚀#AttentionExperts #IKEA #sleep https://t.co/plAW1VDvnW,2022-12-13 08:26:00+00:00,0,0,0,0
14,1602568862108909568,"\"\"\"You CANNOT afford.\"\"Therefore, you can still afford a photograph with it. SAlter Lily better not be pestering me like Yuyuko though. #salterlily #fgo #sanriofgo #plushie #gingerbreadhouse #ikea #ikeamalaysia https://t.co/BmbPD0KXCc\"",2022-12-13 07:39:25+00:00,0,1,7,0
15,1602553830561947648,"@jothemadcatlady @UnitedSpaceCats Thanks! We've now added carpet on the sides and the tops, and the cats are now OBSESSED with climbing them and pouncing on us from on high. #CatsOfTwitter #IKEA #DIY https://t.co/sK05837V5n",2022-12-13 06:39:41+00:00,0,0,1,0
16,1602532854327803904,Well done #IKEA https://t.co/oNEIj2C3hb,2022-12-13 05:16:20+00:00,0,0,1,0
17,1602529644896743424,Every item in #IKEA is made in china. Guess It should change itself from a Swedish brand to a Chinese brand.@IKEAUSA @IKEACanada @IKEAUKSupport .,2022-12-13 05:03:35+00:00,0,0,0,0
18,1602521325116932098,Amazing to find you online https://t.co/twP99cDMgP #sustainable #ikea #Australia,2022-12-13 04:30:31+00:00,0,0,0,0
19,1602520880961421312,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #ikea #zara #homecentre: https://t.co/gHagXnH1PE https://t.co/iofWGMZaml,2022-12-13 04:28:46+00:00,0,1,0,0
20,1602495671730216960,Ikea’s Christmas Ad!! 🥹🫶🏻 #Ikea,2022-12-13 02:48:35+00:00,0,1,4,0
21,1602488983283707904,Congratulations Direk @jphabac for this heartwarming @IKEA Christmas Ad and for featuring @MCdlcrz cutie. Loveeeet! Merry Christmas guys! #Hapag #Ikea https://t.co/y2cCSYOZ4Q,2022-12-13 02:22:01+00:00,17,1,89,13
22,1602460387827392512,RT @lancetay@home.social#IKEA Hadron Cjolidderhttps://t.co/JTWt4c9hkD https://t.co/d8PHaRualx,2022-12-13 00:28:23+00:00,0,0,4,0
